group;id;chrom;nSNP;from;to;lengthBps
Jacobs;H79;2;138;15581003;22860326;7279323
Jacobs;H79;2;19;72891678;74004954;1113276
Jacobs;H79;2;117;121330712;127699622;6368910
Jacobs;H79;2;15;156678409;157367793;689384
Jacobs;H79;2;25;180080977;181909538;1828561
Jacobs;H79;2;31;182286302;183830160;1543858
Jacobs;H79;2;26;209015882;210418618;1402736
Jacobs;H79;2;81;231557166;235917576;4360410
Jacobs;H79;2;23;238940445;240012290;1071845
Jacobs;H79;10;26;15046611;16581183;1534572
Jacobs;H79;10;44;18737350;21363789;2626439
Jacobs;H79;10;32;29353089;30849548;1496459
Jacobs;H79;10;32;30993691;32818994;1825303
Jacobs;H79;10;18;36448017;37738237;1290220
Jacobs;H79;10;20;38727795;40071898;1344103
Jacobs;H79;10;144;47287047;54955412;7668365
Jacobs;H79;10;22;56539784;57534184;994400
Jacobs;H79;10;19;65537146;66447438;910292
Jacobs;H79;10;64;66535573;70187303;3651730
Jacobs;H79;10;39;75314642;77210348;1895706
Jacobs;H79;10;24;85263429;86415081;1151652
Jacobs;H79;24;15;33798780;34666650;867870
Jacobs;H80;2;137;22396321;30708966;8312645
Jacobs;H80;2;40;54687816;56804497;2116681
Jacobs;H80;2;28;61982604;63447389;1464785
Jacobs;H80;2;30;79298450;80904183;1605733
Jacobs;H80;2;20;83214641;84530797;1316156
Jacobs;H80;2;51;84640849;87394092;2753243
Jacobs;H80;2;29;87478446;88789712;1311266
Jacobs;H80;2;25;88900607;91063757;2163150
Jacobs;H80;2;15;108736660;109420304;683644
Jacobs;H80;2;16;129602869;130636386;1033517
Jacobs;H80;2;20;135996954;137024724;1027770
Jacobs;H80;2;59;141007423;144379920;3372497
Jacobs;H80;2;100;158290735;164074984;5784249
Jacobs;H80;2;40;176369323;178922457;2553134
Jacobs;H80;2;82;179799000;184673171;4874171
Jacobs;H80;2;48;211611196;215251657;3640461
Jacobs;H80;2;52;215844761;220852308;5007547
Jacobs;H80;2;224;229423565;242462366;13038801
Jacobs;H80;10;17;14007878;14856146;848268
Jacobs;H80;10;46;19637375;22285343;2647968
Jacobs;H80;10;360;25943893;47487991;21544098
Jacobs;H80;10;18;47662790;48397749;734959
Jacobs;H80;24;69;16041579;21629724;5588145
Jacobs;H86;2;30;5940814;7413337;1472523
Jacobs;H86;2;138;15581003;22860326;7279323
Jacobs;H86;2;59;118099428;121330712;3231284
Jacobs;H86;2;20;122060498;123528595;1468097
Jacobs;H86;2;38;125343919;127088467;1744548
Jacobs;H86;2;37;131397735;132967710;1569975
Jacobs;H86;2;144;162513140;170563260;8050120
Jacobs;H86;2;55;204702992;207802311;3099319
Jacobs;H86;2;15;231557166;232414241;857075
Jacobs;H86;2;16;233988816;234947844;959028
Jacobs;H86;2;45;237261566;239775862;2514296
Jacobs;H86;2;33;246838210;248799264;1961054
Jacobs;H86;10;15;7208458;8588571;1380113
Jacobs;H86;10;179;21682188;31152708;9470520
Jacobs;H86;10;18;36448017;37738237;1290220
Jacobs;H86;10;20;38727795;40071898;1344103
Jacobs;H86;10;48;49876303;52388827;2512524
Jacobs;H86;10;16;72510364;73316053;805689
Jacobs;H86;10;39;73780536;75564317;1783781
Jacobs;H86;10;67;82994149;86415081;3420932
Jacobs;H86;24;39;96467;3333012;3236545
Jacobs;H86;24;24;33056732;34176391;1119659
Jacobs;H87;2;95;17909542;22860326;4950784
Jacobs;H87;2;15;122301320;123494681;1193361
Jacobs;H87;2;26;138813572;139939771;1126199
Jacobs;H87;2;28;162689295;164188754;1499459
Jacobs;H87;2;120;186224877;192989350;6764473
Jacobs;H87;2;15;203751286;204502491;751205
Jacobs;H87;2;61;207575434;210816816;3241382
Jacobs;H87;2;46;212342465;215498705;3156240
Jacobs;H87;2;18;217719922;219015064;1295142
Jacobs;H87;10;121;1413129;10010195;8597066
Jacobs;H87;10;107;25228106;30849548;5621442
Jacobs;H87;10;32;30993691;32818994;1825303
Jacobs;H87;10;18;36448017;37738237;1290220
Jacobs;H87;10;20;38727795;40071898;1344103
Jacobs;H87;10;144;47287047;54955412;7668365
Jacobs;H87;10;22;56539784;57534184;994400
Jacobs;H87;24;30;31556086;33343694;1787608
Jacobs;H87;24;17;40336394;42027686;1691292
Jacobs;H88;2;26;4781740;6149666;1367926
Jacobs;H88;2;40;24966147;27311358;2345211
Jacobs;H88;2;49;54240741;56804497;2563756
Jacobs;H88;2;146;63814688;72147185;8332497
Jacobs;H88;2;24;87394092;88553200;1159108
Jacobs;H88;2;15;106975218;107573497;598279
Jacobs;H88;2;25;113113775;115340878;2227103
Jacobs;H88;2;28;121590788;123528595;1937807
Jacobs;H88;2;34;133402369;135337045;1934676
Jacobs;H88;2;20;135996954;137024724;1027770
Jacobs;H88;2;73;155650761;160096561;4445800
Jacobs;H88;2;75;160185941;164188754;4002813
Jacobs;H88;2;31;182286302;183830160;1543858
Jacobs;H88;2;102;187856073;193374050;5517977
Jacobs;H88;2;35;211611196;213674776;2063580
Jacobs;H88;2;22;213790888;215641893;1851005
Jacobs;H88;2;23;231170715;232414241;1243526
Jacobs;H88;10;52;1413129;4903158;3490029
Jacobs;H88;10;87;4986490;11027862;6041372
Jacobs;H88;10;36;18670320;20686326;2016006
Jacobs;H88;10;201;32773769;45845544;13071775
Jacobs;H88;10;155;48993276;57868492;8875216
Jacobs;H88;10;25;62729605;65269159;2539554
Jacobs;H88;10;41;75599218;77753126;2153908
Jacobs;H88;24;182;9352754;24060526;14707772
Jacobs;H88;24;130;24106007;33343694;9237687
Jacobs;H88;24;32;39300789;42027686;2726897
Jacobs;H93;2;26;158066;2157185;1999119
Jacobs;H93;2;50;2451471;4697573;2246102
Jacobs;H93;2;113;10887825;17033754;6145929
Jacobs;H93;2;35;22396321;24092677;1696356
Jacobs;H93;2;18;24839164;25709378;870214
Jacobs;H93;2;16;31657214;32379564;722350
Jacobs;H93;2;49;54240741;56804497;2563756
Jacobs;H93;2;28;65402955;67012655;1609700
Jacobs;H93;2;45;79017511;81273844;2256333
Jacobs;H93;2;69;103618164;107627876;4009712
Jacobs;H93;2;17;122060498;123432784;1372286
Jacobs;H93;2;56;130965527;133577022;2611495
Jacobs;H93;2;45;140158515;142506224;2347709
Jacobs;H93;2;15;145444039;146243868;799829
Jacobs;H93;2;19;149720801;150755823;1035022
Jacobs;H93;2;95;151148561;156827682;5679121
Jacobs;H93;2;49;168438851;171362036;2923185
Jacobs;H93;2;55;181645416;184760567;3115151
Jacobs;H93;2;61;185861913;189593772;3731859
Jacobs;H93;2;120;193433380;200791746;7358366
Jacobs;H93;2;115;206338485;212749665;6411180
Jacobs;H93;2;145;213505877;223908949;10403072
Jacobs;H93;2;112;231060457;237221424;6160967
Jacobs;H93;2;48;246210686;248799264;2588578
Jacobs;H93;10;56;17336717;20584964;3248247
Jacobs;H93;10;116;23709461;29882404;6172943
Jacobs;H93;10;201;32773769;45845544;13071775
Jacobs;H93;10;31;47287047;48696250;1409203
Jacobs;H93;10;21;67307992;68575459;1267467
Jacobs;H93;24;48;4276981;7107585;2830604
Jacobs;H93;24;72;11611963;16811910;5199947
Jacobs;H94;2;17;5039528;5798140;758612
Jacobs;H94;2;27;22809937;24092677;1282740
Jacobs;H94;2;18;24839164;25709378;870214
Jacobs;H94;2;16;31657214;32379564;722350
Jacobs;H94;2;16;39586061;40468426;882365
Jacobs;H94;2;57;63635636;66543498;2907862
Jacobs;H94;2;68;71178447;75042274;3863827
Jacobs;H94;2;60;88900607;93217367;4316760
Jacobs;H94;2;44;99302002;101521231;2219229
Jacobs;H94;2;22;116635922;117736662;1100740
Jacobs;H94;2;19;130606432;131649580;1043148
Jacobs;H94;2;16;134334411;135304995;970584
Jacobs;H94;2;75;135996954;140273577;4276623
Jacobs;H94;2;15;183721180;184507559;786379
Jacobs;H94;2;15;205305554;206180550;874996
Jacobs;H94;2;323;207369466;227380600;20011134
Jacobs;H94;10;18;12770970;13767913;996943
Jacobs;H94;10;32;14949320;16721856;1772536
Jacobs;H94;10;146;20584964;28538940;7953976
Jacobs;H94;10;39;47662790;49310196;1647406
Jacobs;H94;10;35;68339290;70187303;1848013
Jacobs;H94;10;103;71426400;77142109;5715709
Jacobs;H94;10;49;77718492;80133131;2414639
Jacobs;H94;24;15;9268996;10709974;1440978
Jacobs;H94;24;17;16041579;17307132;1265553
Jacobs;H94;24;15;18888717;20406106;1517389
Jacobs;H94;24;60;24591560;28877449;4285889
Jacobs;H95;2;44;14827510;17033754;2206244
Jacobs;H95;2;141;22396321;30849683;8453362
Jacobs;H95;2;33;51824098;53415584;1591486
Jacobs;H95;2;16;53991275;54669270;677995
Jacobs;H95;2;36;54687816;56556228;1868412
Jacobs;H95;2;113;63635636;69660591;6024955
Jacobs;H95;2;78;70802060;75507684;4705624
Jacobs;H95;2;81;84640849;88789712;4148863
Jacobs;H95;2;28;100753683;101985195;1231512
Jacobs;H95;2;19;122060498;123494681;1434183
Jacobs;H95;2;25;131165894;132323750;1157856
Jacobs;H95;2;72;156678409;161172554;4494145
Jacobs;H95;2;36;201514161;203129937;1615776
Jacobs;H95;2;33;203219228;204881765;1662537
Jacobs;H95;2;80;208232368;212749665;4517297
Jacobs;H95;2;98;231170715;236347543;5176828
Jacobs;H95;2;100;243005095;248799264;5794169
Jacobs;H95;10;41;7492074;10273523;2781449
Jacobs;H95;10;19;21309973;22285343;975370
Jacobs;H95;10;90;28071590;32637918;4566328
Jacobs;H95;10;18;36448017;37738237;1290220
Jacobs;H95;10;20;38727795;40071898;1344103
Jacobs;H95;10;212;41271768;53477980;12206212
Jacobs;H95;10;17;67307992;68311196;1003204
Jacobs;H95;10;82;82083004;86415081;4332077
Jacobs;H95;24;22;7721963;8842899;1120936
Jacobs;H95;24;31;18888717;21629724;2741007
Jacobs;H95;24;57;33740824;38125663;4384839
Jacobs;H95;24;15;39300789;40256403;955614
Jacobs;H96;2;172;17140743;26300198;9159455
Jacobs;H96;2;19;58791324;59762935;971611
Jacobs;H96;2;125;88900607;96717906;7817299
Jacobs;H96;2;20;122060498;123528595;1468097
Jacobs;H96;2;15;134667278;135391568;724290
Jacobs;H96;2;35;140158515;141971484;1812969
Jacobs;H96;2;63;145994402;149553962;3559560
Jacobs;H96;2;144;149666645;158192547;8525902
Jacobs;H96;2;28;162689295;164188754;1499459
Jacobs;H96;2;367;168220661;190937309;22716648
Jacobs;H96;2;160;191042331;200095669;9053338
Jacobs;H96;2;16;215498705;217457102;1958397
Jacobs;H96;2;23;219357404;220955491;1598087
Jacobs;H96;2;63;231170715;234947844;3777129
Jacobs;H96;10;176;21309973;30618253;9308280
Jacobs;H96;10;37;30674002;32637918;1963916
Jacobs;H96;10;28;36883392;39457465;2574073
Jacobs;H96;10;19;40105937;40971187;865250
Jacobs;H96;10;34;46618259;48243886;1625627
Jacobs;H96;10;23;52768972;54375509;1606537
Jacobs;H96;10;79;74111393;78140084;4028691
Jacobs;H96;10;37;82687218;84537988;1850770
Jacobs;H96;24;16;39711452;40762840;1051388
Jacobs;H101;2;72;158066;4309913;4151847
Jacobs;H101;2;111;7413337;13747683;6334346
Jacobs;H101;2;426;46833373;69880623;23047250
Jacobs;H101;2;27;93217367;94609125;1391758
Jacobs;H101;2;341;117612053;136166662;18554609
Jacobs;H101;2;30;142656135;144457580;1801445
Jacobs;H101;2;30;149539226;151200968;1661742
Jacobs;H101;2;70;152359296;156678409;4319113
Jacobs;H101;2;30;173375520;175247582;1872062
Jacobs;H101;2;55;181645416;184760567;3115151
Jacobs;H101;2;23;217890987;219694019;1803032
Jacobs;H101;2;15;220083076;220955491;872415
Jacobs;H101;2;16;221574841;222438632;863791
Jacobs;H101;10;114;4324626;11685764;7361138
Jacobs;H101;10;148;21927581;29882404;7954823
Jacobs;H101;10;34;36637311;39457465;2820154
Jacobs;H101;10;25;85162550;86415081;1252531
Jacobs;H101;24;65;96467;5384735;5288268
Jacobs;H101;24;298;17040364;39300789;22260425
Jacobs;H102;2;23;24966147;26300198;1334051
Jacobs;H102;2;149;45658202;54386685;8728483
Jacobs;H102;2;313;101320194;121330712;20010518
Jacobs;H102;2;20;122060498;123528595;1468097
Jacobs;H102;2;34;133402369;135337045;1934676
Jacobs;H102;2;102;158290735;164188754;5898019
Jacobs;H102;2;16;215498705;217457102;1958397
Jacobs;H102;2;16;239958619;240897051;938432
Jacobs;H102;10;90;5333921;11404177;6070256
Jacobs;H102;10;43;12339027;14856146;2517119
Jacobs;H102;10;238;30674002;45845544;15171542
Jacobs;H102;10;23;52768972;54375509;1606537
Jacobs;H102;10;16;67609179;68694545;1085366
Jacobs;H102;10;33;74111393;75682529;1571136
Jacobs;H102;10;21;77507372;78599973;1092601
Jacobs;H102;10;19;84696261;85627106;930845
Jacobs;H102;24;19;2043961;3446498;1402537
Jacobs;H102;24;37;6265369;8339627;2074258
Jacobs;H102;24;26;8842899;10977878;2134979
Jacobs;H102;24;37;33313461;35878194;2564733
Jacobs;H102;24;19;39603557;40762840;1159283
Jacobs;H103;2;25;11979482;13307050;1327568
Jacobs;H103;2;25;31353780;32674404;1320624
Jacobs;H103;2;35;46045582;48586900;2541318
Jacobs;H103;2;285;48649872;63479215;14829343
Jacobs;H103;2;45;67428296;69880623;2452327
Jacobs;H103;2;42;81746910;84368094;2621184
Jacobs;H103;2;37;84580673;86669812;2089139
Jacobs;H103;2;22;91063757;92132718;1068961
Jacobs;H103;2;27;93217367;94609125;1391758
Jacobs;H103;2;15;99623937;100697530;1073593
Jacobs;H103;2;94;121330712;126384559;5053847
Jacobs;H103;2;27;127495017;129045322;1550305
Jacobs;H103;2;44;131727936;133577022;1849086
Jacobs;H103;2;52;181909538;184760567;2851029
Jacobs;H103;2;63;203303306;206643029;3339723
Jacobs;H103;2;17;207575434;208358342;782908
Jacobs;H103;2;46;212342465;215498705;3156240
Jacobs;H103;2;19;218095888;219694019;1598131
Jacobs;H103;2;18;220083076;221078667;995591
Jacobs;H103;2;20;226617529;227734587;1117058
Jacobs;H103;2;124;230279194;237221424;6942230
Jacobs;H103;2;27;247079021;248799264;1720243
Jacobs;H103;10;41;5450092;8904686;3454594
Jacobs;H103;10;44;29842383;31770739;1928356
Jacobs;H103;10;34;36637311;39457465;2820154
Jacobs;H103;10;20;51804306;52630202;825896
Jacobs;H103;10;29;53098812;54955412;1856600
Jacobs;H103;10;35;57261965;59691651;2429686
Jacobs;H103;10;25;68944509;70187303;1242794
Jacobs;H103;10;17;71426400;72848051;1421651
Jacobs;H103;10;65;74681400;78093080;3411680
Jacobs;H103;10;54;78641554;81397746;2756192
Jacobs;H103;10;26;82994149;84137492;1143343
Jacobs;H103;10;34;84696261;86415081;1718820
Jacobs;H103;24;32;9352754;12335936;2983182
Jacobs;H103;24;26;39711452;42027686;2316234
Jacobs;H104;2;22;25007252;26300198;1292946
Jacobs;H104;2;195;45552152;56804497;11252345
Jacobs;H104;2;20;65402955;66543498;1140543
Jacobs;H104;2;149;79017511;87394092;8376581
Jacobs;H104;2;29;87478446;88789712;1311266
Jacobs;H104;2;15;122301320;123494681;1193361
Jacobs;H104;2;34;133402369;135337045;1934676
Jacobs;H104;2;69;140158515;143918492;3759977
Jacobs;H104;2;15;162383470;163109337;725867
Jacobs;H104;2;33;199777656;201797379;2019723
Jacobs;H104;2;15;205305554;206180550;874996
Jacobs;H104;2;139;209050239;219015064;9964825
Jacobs;H104;2;63;231170715;234947844;3777129
Jacobs;H104;2;32;236768061;238675170;1907109
Jacobs;H104;10;197;25228106;35596332;10368226
Jacobs;H104;10;17;35665391;36653024;987633
Jacobs;H104;10;28;36883392;39457465;2574073
Jacobs;H104;10;17;40105937;40749405;643468
Jacobs;H104;10;27;47662790;48804938;1142148
Jacobs;H104;10;189;49560674;60841810;11281136
Jacobs;H104;10;31;81397746;82888777;1491031
Jacobs;H104;24;19;2043961;3446498;1402537
Jacobs;H104;24;69;16351007;22222030;5871023
Jacobs;H108;2;28;8127552;9735180;1607628
Jacobs;H108;2;870;25243715;76075819;50832104
Jacobs;H108;2;155;76627899;84802665;8174766
Jacobs;H108;2;25;84938566;86380895;1442329
Jacobs;H108;2;20;107171359;107911874;740515
Jacobs;H108;2;16;108309773;108954373;644600
Jacobs;H108;2;17;122060498;123432784;1372286
Jacobs;H108;2;128;147821995;155158608;7336613
Jacobs;H108;2;24;196397256;197705689;1308433
Jacobs;H108;2;15;200749064;201496886;747822
Jacobs;H108;2;18;211611196;212749665;1138469
Jacobs;H108;2;67;213505877;219831281;6325404
Jacobs;H108;2;81;219933911;224139429;4205518
Jacobs;H108;2;15;245248045;246249900;1001855
Jacobs;H108;10;26;12231314;13767913;1536599
Jacobs;H108;10;73;25943893;29882404;3938511
Jacobs;H108;10;363;32773769;54216568;21442799
Jacobs;H108;10;21;67307992;68575459;1267467
Jacobs;H108;10;120;78641554;84741018;6099464
Jacobs;H108;24;72;11611963;16811910;5199947
Jacobs;H108;24;20;32598869;33692582;1093713
Jacobs;H109;2;17;5094572;5940814;846242
Jacobs;H109;2;141;22396321;30849683;8453362
Jacobs;H109;2;43;35582012;38602691;3020679
Jacobs;H109;2;16;53991275;54669270;677995
Jacobs;H109;2;74;84640849;88553200;3912351
Jacobs;H109;2;128;96566325;104101891;7535566
Jacobs;H109;2;117;118134501;124907852;6773351
Jacobs;H109;2;31;125343919;126734704;1390785
Jacobs;H109;2;19;130606432;131649580;1043148
Jacobs;H109;2;35;140158515;141971484;1812969
Jacobs;H109;2;17;167533866;168355070;821204
Jacobs;H109;2;33;199777656;201797379;2019723
Jacobs;H109;2;15;205305554;206180550;874996
Jacobs;H109;2;146;209050239;219694019;10643780
Jacobs;H109;2;89;231170715;235917576;4746861
Jacobs;H109;10;16;28502457;29353089;850632
Jacobs;H109;10;34;46618259;48243886;1625627
Jacobs;H109;10;49;58143024;61237051;3094027
Jacobs;H109;10;25;84100127;85541040;1440913
Jacobs;H109;24;87;11076801;17307132;6230331
Jacobs;H109;24;16;20395301;21554660;1159359
Jacobs;H110;2;20;2451471;3291115;839644
Jacobs;H110;2;129;7490500;14827510;7337010
Jacobs;H110;2;830;22396321;70126155;47729834
Jacobs;H110;2;38;72875158;75042274;2167116
Jacobs;H110;2;175;75674121;85150906;9476785
Jacobs;H110;2;17;89995144;91063757;1068613
Jacobs;H110;2;317;96439757;117158936;20719179
Jacobs;H110;2;148;119854666;127495017;7640351
Jacobs;H110;2;16;131727936;132323750;595814
Jacobs;H110;2;84;137832529;142506224;4673695
Jacobs;H110;2;334;145444039;164903825;19459786
Jacobs;H110;2;49;168438851;171362036;2923185
Jacobs;H110;2;55;181645416;184760567;3115151
Jacobs;H110;2;27;187856073;189593772;1737699
Jacobs;H110;2;32;194853812;197093416;2239604
Jacobs;H110;2;21;199432096;200791746;1359650
Jacobs;H110;2;18;211611196;212749665;1138469
Jacobs;H110;2;162;213505877;224825575;11319698
Jacobs;H110;2;42;236562748;239149511;2586763
Jacobs;H110;2;23;239655117;240967385;1312268
Jacobs;H110;10;48;12770970;15472049;2701079
Jacobs;H110;10;327;25943893;45845544;19901651
Jacobs;H110;10;31;47287047;48696250;1409203
Jacobs;H110;10;21;67307992;68575459;1267467
Jacobs;H110;10;16;84812819;85627106;814287
Jacobs;H110;24;71;96467;5726120;5629653
Jacobs;H110;24;403;11611963;42027686;30415723
Jacobs;H111;2;54;2451471;4835268;2383797
Jacobs;H111;2;124;10448019;17033754;6585735
Jacobs;H111;2;21;22396321;23366203;969882
Jacobs;H111;2;178;23487206;34303557;10816351
Jacobs;H111;2;29;53415584;54744188;1328604
Jacobs;H111;2;17;73046724;73926990;880266
Jacobs;H111;2;30;79298450;80904183;1605733
Jacobs;H111;2;203;84640849;96439757;11798908
Jacobs;H111;2;20;113897647;115476148;1578501
Jacobs;H111;2;21;121796989;123494681;1697692
Jacobs;H111;2;47;126298276;128843993;2545717
Jacobs;H111;2;38;141725733;143918492;2192759
Jacobs;H111;2;15;162383470;163109337;725867
Jacobs;H111;2;64;199777656;203129937;3352281
Jacobs;H111;2;33;203219228;204881765;1662537
Jacobs;H111;2;16;206643029;207609417;966388
Jacobs;H111;2;66;209050239;212749665;3699426
Jacobs;H111;2;22;219357404;220903491;1546087
Jacobs;H111;2;89;231170715;235917576;4746861
Jacobs;H111;10;37;21682188;23673666;1991478
Jacobs;H111;10;283;30072709;47487991;17415282
Jacobs;H111;10;20;74681400;75682529;1001129
Jacobs;H111;10;43;84100127;86415081;2314954
Jacobs;H111;24;17;96467;1377045;1280578
Jacobs;H111;24;25;25017904;27159621;2141717
Jacobs;H111;24;23;32354842;33643979;1289137
Jacobs;H111;24;19;39603557;40762840;1159283
Jacobs;H112;2;49;5039528;7490500;2450972
Jacobs;H112;2;23;8518359;9735180;1216821
Jacobs;H112;2;48;22396321;24861755;2465434
Jacobs;H112;2;92;24921180;30849683;5928503
Jacobs;H112;2;33;51824098;53415584;1591486
Jacobs;H112;2;16;53991275;54669270;677995
Jacobs;H112;2;44;54687816;56941505;2253689
Jacobs;H112;2;94;57009664;61735560;4725896
Jacobs;H112;2;141;62107494;69660591;7553097
Jacobs;H112;2;28;73475221;75042274;1567053
Jacobs;H112;2;101;84069275;90362958;6293683
Jacobs;H112;2;27;90945684;92162531;1216847
Jacobs;H112;2;16;98652142;99487592;835450
Jacobs;H112;2;20;113897647;115476148;1578501
Jacobs;H112;2;19;122060498;123494681;1434183
Jacobs;H112;2;16;133594324;134770618;1176294
Jacobs;H112;2;24;136745970;138081646;1335676
Jacobs;H112;2;45;141299872;143864562;2564690
Jacobs;H112;2;54;145398841;148711192;3312351
Jacobs;H112;2;110;148758742;155158608;6399866
Jacobs;H112;2;53;170058634;173151952;3093318
Jacobs;H112;2;25;175346551;177011834;1665283
Jacobs;H112;2;19;184760567;186136333;1375766
Jacobs;H112;2;43;189593772;191650061;2056289
Jacobs;H112;2;23;202088645;203129937;1041292
Jacobs;H112;2;36;203219228;205023204;1803976
Jacobs;H112;2;16;228130504;228848890;718386
Jacobs;H112;10;52;1413129;4903158;3490029
Jacobs;H112;10;73;4986490;10273523;5287033
Jacobs;H112;10;46;18402394;21273163;2870769
